Line #,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1
,PPTC061LFBN-RC,CONN HDR 6POS 0.1 TIN PCB Female,"BBB J1, P485b",2,Sullins,PPTC061LFBN-RC,Digikey,S7004-ND
,PPTC071LFBN-RC,CONN HDR 7POS 0.1 TIN PCB Female,P485a,1,Sullins,PPTC071LFBN-RC,Digikey,S7005-ND
,BBB Headers,PRT-12791,BeagleBone P8 and P9 Headers,2,SparkFun,PRT-12791,Mouser,474-PRT-12791
,2x2 Female,PPTC022LFBN-RC,BeagleBone Supercap Female connector header ,1,Sullins,PPTC022LFBN-RC,Digikey,S7070-ND
,796136-1,"Battery Connector, 1 Cell, CR2032, 2-Pin SMD, RoHS, Tape and Reel",BT1,1,TE Connectivity AMP Connectors,796136-1,Digi-Key,A99327CT-ND
,06035C104K4T4A,0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric),"C1, C2, C3, C4, C5, C6, C9, C12, C13, C14, C15, C17, C18, C19, C20, C24, C25, C26, C27",19,Kyocera AVX,06035C104K4T4A,Mouser,581-06035C104K4T4A
,GRM1555C1H270JA01D,"27 pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C7, C8, C35, C36",4,Murata,GRM1555C1H270JA01D,Digi-Key,490-5869-1-ND
,UMK325AB7106KM-T,CAP CER 10UF 50V X7R 1210,"C10, C11, C16, C23, C31, C34",6,Taiyo Yuden,UMK325AB7106KM-T,Avnet,UMK325AB7106KM-T
,ECA-1HM221,"Aluminum Electrolytic Capacitor, 220 uF, +/- 20%, 50 V, -40 to 85 degC, 2-Pin THD, RoHS, Bulk","C21, C22",2,Panasonic,ECA-1HM221,Newark,96K9180
,C0603C201J5GACTU,CAP CER 200PF 50V 5% NP0 0603,"C28, C32",2,KEMET,C0603C201J5GACTU,Newark,27AC3059
,CGA3E2C0G1H060D080AA,Cap Ceramic 6pF 50V C0G 0.5pF Pad SMD 0603 +125°C Automotive T/R,"C29, C30",2,TDK,CGA3E2C0G1H060D080AA,Newark,80X3158
,5F 6.0 V Cap,DSF505Q6R0JBG,C33,1,Cornell Dubilier,DSF505Q6R0JBG,Mouser,598-DSF505Q6R0JBG
,SMBJ24CA-E3/52,"TRANSZORB(R) Transient Voltage Suppressor, 24 V, -55 to 150 degC, 2-Pin DO-214AA (SMBJ), RoHS, Tape and Reel","D1, D2",2,Vishay Semiconductors,SMBJ24CA-E3/52,Mouser,625-SMBJ24CA-E3
,1SMB5920BT3G,"3 W Zener Voltage Regulator, 2-Pin SMB, Pb-Free, Tape and Reel",D10,1,ON Semiconductor,1SMB5920BT3G,Newark,45J2450
,LTST-C190KRKT,"LED Uni-Color Red, 62.5 mW, 25 mA, -30 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel",DS1,1,Vishay Lite-On,LTST-C190KRKT,Mouser,859-LTST-C190KRKT
,LTST-C190GKT,"LED Uni-Color Green, 100 mW, 30 mA, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel",DS2,1,Vishay Lite-On,LTST-C190GKT,Mouser,859-LTST-C190GKT
,LTST-C190TBKT,"LED Uni-Color Blue, 76 mW, 20 mA, -20 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel",DS3,1,Vishay Lite-On,LTST-C190TBKT,Mouser,859-LTST-C190TBKT
,LTST-C190KSKT,"LED Uni-Color Yellow, 75 mW, 30 mA, -30 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel",DS4,1,Vishay Lite-On,LTST-C190KSKT,Mouser,859-LTST-C190KSKT
,2016L075/60MR,PTC RESET FUSE 60V 750MA 2016,F1,1,Littelfuse,2016L075/60MR,Mouser,576-2016L075/60MR
,10 Pos Header,CONN HEADER R/A 10POS 4.2MM,J1,1,Molex,39-30-1100,Digikey,WM1355-ND
,BitMagic Basic Header,"Connector Header Surface Mount 14 position 0.050"" (1.27mm)",J2,1,Samtec,FTSH-107-01-F-DV-K,Digikey,612-FTSH-107-01-F-DV-K-ND
,BHR-20-VUA,No Description Available,J3,1,Adam Equipment,BHR-20-VUA,Digikey,2057-BHR-20-VUA-ND
,DSUB15 Female D15S33E4GV00LF,2 Row 15 Position Female Socket D-Sub Receptacle Connector,J5,1,Amphenol ICC / FCI,D15S33E4GV00LF,Digikey,609-1498-ND
,VSAB1770-560M,Automotive Molded Power Inductor,L1,1,Codaca,VSAB1770-560M,Digikey,4044-VSAB1770-560MCT-ND
,LQM2HPN2R2MG0L,"Multilayer Type Inductor for Power Lines, 1008 (2520), 2.2µH, 20%, 0.1O, 1.3A",L2,1,Murata,LQM2HPN2R2MG0L,Digikey,490-5114-1-ND
,FOD817DSD,OPTOISOLATOR 5KV TRANSISTOR 4SMD,Q1,1,ON Semiconductor / Fairchild,FOD817DSD,Mouser,512-FOD817DSD
,IPD90P03P4L-04,"OptiMOS-P2 Power-Transistor, -30 V VDS, -90 A ID, PG-TO252-3-11, Reel, Green",Q2,1,Infineon,IPD90P03P4L-04,Avnet,IPD90P03P4L04ATMA1
